agua,produccion,campo_codigo,quemado,petroleo,gasollina,co2,condensado,campo_nombre
0.0,10.0,ARN,2.0,10.0,,,,ARROYO NEGRO
26.0,168.0,CAM,491.0,,,,168.0,CAMIRI
,0.0,CCB,,,,,,CASCABEL
8.0,73.0,GRY,213.0,73.0,,,,GUAIRUY
2338.91,292.093,LPÑ,34.0,292.093,0.0,,,LA PEÑA
,129.0,LPS,9.0,129.0,,,,LOS PENOCOS
124.0,17.418,LSC,81.3,,4.418,,13.0,LOS SAUCES
1284.0,1066.582,RGD,99.0,,208.626,,520.0,RIO GRANDE
30.0,229.0,SIR,199.0,,74.0,,155.0,SIRARI
355.0,523.0,VBR,193.0,,243.0,,280.0,VIBORA
18.0,416.0,YPC,546.0,,83.0,,333.0,YAPACANI
69.0,1800.0,BBL,102.0,0.0,291.0,200.0,1509.0,BULO BULO
322.0,91.0,CRC,6.0,0.0,15.0,40.0,76.0,CARRASCO
36.0,1187.0,CFW,22.0,0.0,115.0,0.0,1072.0,CARRASCO  FW
760.0,254.0,HSR,2.0,254.0,0.0,0.0,0.0,H. SUAREZ R.
58.0,159.0,KNT,15.0,0.0,61.0,0.0,98.0,KANATA
290.0,404.0,KNN,20.0,0.0,68.0,0.0,336.0,KANATA NORTE
,0.0,KFW,,,,,,KANATA FW
499.0,267.0,LCS,123.0,267.0,0.0,0.0,0.0,LOS CUSIS
0.0,16.0,MCT,201.0,,0.0,0.0,16.0,MONTECRISTO
,0.0,JNN,0.0,0.0,,0.0,,JUNIN
4324.0,427.0,PJS,34.0,427.0,0.0,0.0,0.0,PATUJUSAL
2.0,10.0,PJO,11.0,10.0,0.0,0.0,0.0,PATUJUSAL OESTE
23.0,136.0,SNQ,0.0,0.0,88.0,0.0,48.0,SAN ROQUE
0.0,0.0,SRW,0.0,0.0,0.0,0.0,0.0,SANTA ROSA W
65.0,1225.0,VGR,177.0,0.0,710.0,0.0,515.0,VUELTA GRANDE
40.0,26.0,CHS,2.0,0.0,23.0,,3.0,CHACO SUR
207.0,170.0,NJL,0.0,0.0,75.0,,95.0,NARANJILLOS
536.0,49.0,ÑPC,5.0,0.0,44.0,,5.0,ÑUPUCO
0.0,0.0,PVN,0.0,0.0,0.0,,0.0,PORVENIR
2.0,25.0,CBT,102.0,25.0,0.0,,0.0,CAMBEITI
163.0,153.0,MGD,20.0,141.0,12.0,,0.0,MONTEAGUDO
134.0,2006.0,MGR,0.0,0.0,122.0,,1884.0,MARGARITA
602.0,1002.646,PLM,91.702,0.0,205.646,,797.0,PALOMA
366.0,1289.309,SRB,25.523,1283.132,6.177,,0.0,SURUBI
225.0,952.219,SRB,84.472,921.454,30.765,,0.0,BLOQUE BAJO
234.0,2168.087,SRB,26.303,2161.675,6.412,,0.0,NOR -  OESTE
148.0,609.0,CAR,29.0,0.0,167.0,,442.0,CARANDA
647.0,330.0,CLP,5.0,0.0,129.0,,201.0,COLPA
333.0,91.48,TTR,382.85,91.48,0.0,,0.0,TATARENDA
6.06,411.29,EDD,1.54,,136.8,,274.49,ESCONDIDO
197.49,349.23,LVT,1.39,,118.14,,231.09,LA VERTIENTE
83.17,67.46,LSR,0.146,,8.44,,59.02,LOS SURIS
186.48,41.95,TGT,0.116,,10.03,,31.92,TAIGUATI
212.66,5637.48,SAL,2813.006,0.0,1087.74,1558.787,4549.74,SAN ALBERTO
399.72,11570.88,SBL,79.832,0.0,2050.2,1907.397,9520.68,SABALO
374.2,56.0,BJO,,56.0,,,0.0,BERMEJO
239.0,19.5,BJO,0.0,0.0,0.0,0.0,19.5,X 44
0.0,0.0,TOR,,0.0,,,0.0,TORO
79.3,120.2,TCB,9.142,0.0,24.9,1376.704,95.3,TACOBO
5.6,81.1,TJB,2.058,,23.3,,57.8,TAJIBO